ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 3;BSM;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,BSM.cxx:162-163,BSM.cxx:190-190,simd_builtin.h:1548-1548,simd_builtin.h:1553-1553,simd_builtin.h:1558-1558,simd_builtin.h:1660-1660,cmath:182-182,cmath:327-327,cmath:377-377,cmath:443-443,simd.h:2110-2110,simd.h:2857-2857,uniform_01.hpp:98-98,normal_distribution.hpp:155-155,normal_distribution.hpp:163-164;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Outermost;17.485006332397;16.912099838257;36.837509155273;1.00;1.11;1.35;1.00;1;39.29;60.27;16.00;16.00;14.40;11.84;16.00
Loop 4;BSM;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Innermost;0.65500009059906;0.55678457021713;1.2127740383148;1.00;1.00;2.29;1.00;1;0.00;47.50;4.00;4.00;4.00;1.75;4.00
Loop 5;BSM;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Innermost;0.61500000953674;0.55553191900253;1.2100455760956;1.00;1.00;2.29;1.00;1;0.00;47.50;4.00;4.00;4.00;1.75;4.00
Loop 6;BSM;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Innermost;0.54000002145767;0.47974914312363;1.0449774265289;1.00;1.00;2.29;1.00;1;0.00;47.50;4.00;4.00;4.00;1.75;4.00
Loop 1;BSM;BSM.cxx:101-101,BSM.cxx:143-143,BSM.cxx:194-194,BSM.cxx:238-242;main.omp_outlined;Single;0.0049999998882413;0.00031315215164796;0.00068210012977943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
