loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
4;BSM_2;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];11;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,BSM.cxx:164-165,BSM.cxx:192-192,simd_builtin.h:1548-1548,simd_builtin.h:1553-1553,simd_builtin.h:1558-1558,simd_builtin.h:1660-1660,cmath:182-182,cmath:327-327,cmath:377-377,cmath:443-443,simd.h:2110-2110,simd.h:2857-2857,uniform_01.hpp:98-98,normal_distribution.hpp:155-155,normal_distribution.hpp:163-164;Outermost;39.811882019043;18.200002670288;;;;;;36.421310424805;16.650003433228;;;;;;;;
5;BSM_2;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];11;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;Innermost;1.2468554973602;0.57000005245209;;;;;;1.2468554973602;0.57000005245209;;;;;;;;
6;BSM_2;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];11;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;Innermost;1.1374821662903;0.52000004053116;;;;;;1.1374821662903;0.52000004053116;;;;;;;;
7;BSM_2;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];11;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;Innermost;1.0062341690063;0.45999997854233;;;;;;1.0062341690063;0.45999997854233;;;;;;;;
