Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;450229;45.770011901855;56.868983741756;45.898181915283;0;1737730027;0.012302055079523;0.0013668950088359;552046;0;0.18043014116634;42.936906892362;146317.01682072;0;0;1737729981;0;0;
ip-10-0-2-49;_ALL;_ALL;0;450229;45.770011901855;56.868983741756;45.898181915283;0;1737730027;0.012302055079523;0.0013668950088359;552046;0;0.18043014116634;42.936906892362;146317.01682072;0;0;1737729981;0;0;
ip-10-0-2-49;4568;_ALL;0;450229;45.770011901855;56.868983741756;45.898181915283;0;1737730027;0.012302055079523;0.0013668950088359;552046;0;0.18043014116634;42.936906892362;146317.01682072;0;0;1737729981;0;0;
ip-10-0-2-49;4568;4587;45.877143859863;448347;45.745002746582;56.082629023823;45.883144378662;0;1737730027;0.010930155809984;0;565202;0;0.26232373943961;43.644107060209;9149.000411198;12.520649909973;0;1737729981;0;0;
ip-10-0-2-49;4568;4590;45.872852325439;448328;45.75;57.540987558336;45.882999420166;0;1737730027;0.010928961951207;0;565327;0;0.17486339121931;42.273218042601;9149.9998304008;20.543733596802;0;1737729981;0;0;
ip-10-0-2-49;4568;4589;45.874282836914;448346;45.765007019043;57.030473095727;45.883056640625;0;1737730027;0.021850756055745;0;565288;0;0.27313445069681;42.674538778273;9153.0013647934;19.396728515625;0;1737729981;0;0;
ip-10-0-2-49;4568;4588;45.87707901001;448339;45.760005950928;56.872809800992;45.8830909729;0;1737730027;0.032779716245313;0;565248;0;0.24038458579896;42.854020075314;9152.0011263946;32.338790893555;0;1737729981;0;0;
ip-10-0-2-49;4568;4592;45.875534057617;448335;45.715003967285;57.541287057913;45.882930755615;0;1737730027;0.010937328363517;0;565404;0;0.14218526872573;42.305588840029;9143.000619197;20.042549133301;0;1737729981;0;0;
ip-10-0-2-49;4568;4591;45.874404907227;448343;45.64501953125;57.125617503886;45.882976531982;0;1737730027;0;0;565366;0;0.043816390837571;42.830524532485;9129.0038351816;12.680788993835;0;1737729981;0;0;
ip-10-0-2-49;4568;4599;45.87536239624;448338;45.7200050354;56.649162071082;45.882640838623;0;1737730027;0.021872263915402;0.010936131957701;565697;0;0.19685037523862;43.121158003054;9144.0008575959;17.640491485596;0;1737729981;0;0;
ip-10-0-2-49;4568;4585;45.875663757324;448340;45.68000793457;56.6221458271;45.883239746094;0;1737730027;0;0;565099;0;0.13134849114079;43.246493983043;9136.0014079932;14.488508224487;0;1737729981;0;0;
ip-10-0-2-49;4568;4597;45.876621246338;448341;45.740009307861;56.526007925282;45.882724761963;0;1737730027;0;0;565617;0;0.26235237481741;43.21162304935;9148.0018111913;15.998656272888;0;1737729981;0;0;
ip-10-0-2-49;4568;4568;45.880771636963;450229;45.70499420166;58.013355447717;45.898181915283;0;1737730027;0;0.010939723921425;552046;0;0.10939723921425;41.866321189346;9140.9985040072;13.594774246216;0;1737729981;0;0;
ip-10-0-2-49;4568;4586;45.873908996582;448325;45.770011901855;56.45618047205;45.883167266846;0;1737730027;0.010924183257307;0;565157;0;0.30587713120459;43.227002954662;9154.0024223884;12.252088546753;0;1737729981;0;0;
ip-10-0-2-49;4568;4594;45.870532989502;448320;45.695003509521;56.570739916243;45.882831573486;0;1737730027;0;0;565487;0;0.14224750312274;43.287007521024;9139.0004847977;14.638383865356;0;1737729981;0;0;
ip-10-0-2-49;4568;4598;45.873222351074;448326;45.725006103516;56.839795904199;45.882667541504;0;1737730027;0.0109349358136;0;565659;0;0.14215416557679;43.007100612852;9145.0010959947;22.600887298584;0;1737729981;0;0;
ip-10-0-2-49;4568;4595;45.876876831055;448344;45.725009918213;55.833775478157;45.882816314697;0;1737730027;0.021869869668128;0;565529;0;0.20776376184721;43.936561619835;9145.0019151908;16.240783691406;0;1737729981;0;0;
ip-10-0-2-49;4568;4596;45.872989654541;448348;45.695014953613;57.117828552062;45.882774353027;0;1737730027;0.032826338047078;0;565573;0;0.065652676094156;42.783669236629;9139.0029423859;15.935742378235;0;1737729981;0;0;
ip-10-0-2-49;4568;4593;45.875164031982;448339;45.749992370605;57.081976586208;45.882888793945;0;1737730027;0.010928963908139;0;565449;0;0.18579238643836;42.721324550774;9149.9981920087;21.913625717163;0;1737729981;0;0;
