node;pid;tid;core_id;sample_count;
ip-10-0-2-49;4568;4599;10;9144;
ip-10-0-2-49;4568;4598;6;9145;
ip-10-0-2-49;4568;4597;2;9148;
ip-10-0-2-49;4568;4596;4;9139;
ip-10-0-2-49;4568;4595;5;9145;
ip-10-0-2-49;4568;4594;12;9139;
ip-10-0-2-49;4568;4593;16;9150;
ip-10-0-2-49;4568;4586;1;9154;
ip-10-0-2-49;4568;4585;11;9136;
ip-10-0-2-49;4568;4568;14;9141;
ip-10-0-2-49;4568;4591;8;9129;
ip-10-0-2-49;4568;4592;13;9143;
ip-10-0-2-49;4568;4588;15;9152;
ip-10-0-2-49;4568;4589;3;9153;
ip-10-0-2-49;4568;4590;9;9150;
ip-10-0-2-49;4568;4587;7;9149;
