ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 4;BSM_2;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,BSM.cxx:164-165,BSM.cxx:192-192,simd_builtin.h:1548-1548,simd_builtin.h:1553-1553,simd_builtin.h:1558-1558,simd_builtin.h:1660-1660,cmath:182-182,cmath:327-327,cmath:377-377,cmath:443-443,simd.h:2110-2110,simd.h:2857-2857,uniform_01.hpp:98-98,normal_distribution.hpp:155-155,normal_distribution.hpp:163-164;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Outermost;17.305004119873;16.935750961304;37.001850128174;1.00;1.11;1.35;1.00;1;39.29;60.27;16.00;16.00;14.40;11.84;16.00
Loop 5;BSM_2;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Innermost;0.65000003576279;0.57119834423065;1.2479751110077;1.00;1.00;2.29;1.00;1;0.00;47.50;4.00;4.00;4.00;1.75;4.00
Loop 6;BSM_2;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Innermost;0.64499998092651;0.54554760456085;1.1919324398041;1.00;1.00;2.29;1.00;1;0.00;47.50;4.00;4.00;4.00;1.75;4.00
Loop 7;BSM_2;XoshiroCpp.hpp:667-667,XoshiroCpp.hpp:840-846,uniform_01.hpp:98-98;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Innermost;0.56999999284744;0.49674862623215;1.0853146314621;1.00;1.00;2.29;1.00;1;0.00;47.50;4.00;4.00;4.00;1.75;4.00
Loop 2;BSM_2;BSM.cxx:196-196;black_scholes_monte_carlo(float, float, float, float, float, float, unsigned long) [clone .omp_outlined];Single;0.0049999998882413;0.00062562804669142;0.0013668950414285;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
